Reservation-id,Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,stay_length,income_amount,num_rooms,total_cost,income_ratio,adults_to_child,adults_to_babies,total_people,checkin_day,checkin_week,checkin_dayofweek,checkin_month,checkin_year,days_to_booking,days_to_stay_ratio
14142898,1,55,4,3,1,2,2,3,1,1,1,1,1,1,1,1,1,1,10,168,1,25,1,168,0.1488095238095238,0.3333333333333333,0.3333333333333333,5,2,27,3,7,2015,0,0.0
13898482,2,62,4,2,2,4,2,1,1,0,1,1,1,2,1,1,1,2,0,234,1,100,1,234,0.42735042735042733,1.0,1.0,2,5,27,6,7,2015,6,6.0
37437329,2,22,3,1,1,2,3,1,3,2,1,1,1,2,3,1,1,1,10,118,1,25,1,118,0.211864406779661,3.0,3.0,6,6,28,0,7,2015,36,36.0
42680944,1,62,2,4,3,3,3,1,2,0,1,1,1,1,2,2,1,1,5,220,4,200,1,880,0.22727272727272727,2.0,2.0,3,7,28,1,7,2015,68,17.0
67286844,2,45,4,4,4,2,2,3,1,0,1,1,1,1,1,1,1,1,20,222,1,50,1,222,0.22522522522522523,0.3333333333333333,0.3333333333333333,4,7,28,1,7,2015,71,71.0
85519191,1,53,1,2,4,3,1,5,3,0,1,1,1,1,1,2,1,1,25,161,3,50,2,966,0.051759834368530024,0.6,0.6,8,7,28,1,7,2015,69,23.0
2579451,1,33,2,2,2,3,1,2,1,0,3,1,1,1,3,1,1,1,10,101,2,100,1,202,0.49504950495049505,0.5,0.5,3,1,27,2,7,2015,125,62.5
17727805,2,32,1,3,1,3,1,3,1,1,1,2,1,1,1,1,1,2,0,105,1,25,1,105,0.23809523809523808,0.3333333333333333,0.3333333333333333,5,8,28,2,7,2015,77,77.0
44808431,1,43,3,3,1,3,1,2,2,0,1,2,1,1,1,1,1,2,0,146,1,25,1,146,0.17123287671232876,1.0,1.0,4,8,28,2,7,2015,47,47.0
70317745,1,38,2,4,4,4,1,3,2,0,1,1,1,2,2,1,1,1,20,162,1,50,1,162,0.30864197530864196,0.6666666666666666,0.6666666666666666,5,11,20,0,5,2015,59,59.0
69306508,1,18,4,4,1,2,1,1,2,0,1,2,1,1,1,1,1,1,10,129,1,25,1,129,0.1937984496124031,2.0,2.0,3,8,28,2,7,2015,76,76.0
65535117,2,66,1,3,2,3,3,2,1,0,1,1,1,2,1,1,1,2,0,218,2,100,1,436,0.22935779816513763,0.5,0.5,3,8,28,2,7,2015,97,48.5
72188000,2,44,1,4,1,1,2,2,1,0,1,1,1,2,1,1,1,1,20,191,3,25,1,573,0.04363001745200698,0.5,0.5,3,15,29,2,7,2015,115,38.333333333333336
34053875,1,43,1,4,4,2,2,5,2,0,1,1,1,1,1,1,1,1,25,154,1,50,2,308,0.16233766233766234,0.4,0.4,7,16,29,3,7,2015,94,94.0
95959457,1,29,4,2,4,3,2,3,2,0,1,1,1,2,1,1,1,2,0,173,1,50,1,173,0.28901734104046245,0.6666666666666666,0.6666666666666666,5,29,22,4,5,2015,95,95.0
33334436,1,54,4,2,2,3,2,4,2,1,1,2,1,1,1,1,1,2,0,216,1,100,2,432,0.23148148148148148,0.5,0.5,7,8,28,2,7,2015,68,68.0
97828465,1,48,2,2,2,3,1,3,2,1,1,1,1,1,1,1,1,1,5,103,3,100,1,309,0.32362459546925565,0.6666666666666666,0.6666666666666666,6,19,21,1,5,2015,42,14.0
70532206,1,43,1,3,2,2,2,3,1,0,1,1,1,1,1,2,1,1,25,246,1,100,1,246,0.4065040650406504,0.3333333333333333,0.3333333333333333,4,19,25,4,6,2015,39,39.0
98511366,1,43,2,1,3,3,2,5,2,0,1,1,1,1,3,1,1,2,0,156,3,200,2,936,0.21367521367521367,0.4,0.4,7,6,28,0,7,2015,12,4.0
62860295,1,23,3,4,2,1,1,3,1,0,1,2,1,1,1,2,1,1,10,237,1,100,1,237,0.4219409282700422,0.3333333333333333,0.3333333333333333,4,6,28,0,7,2015,35,35.0
47244513,2,43,3,2,4,3,1,4,2,1,1,2,1,1,2,2,1,2,0,166,4,50,2,1328,0.03765060240963856,0.5,0.5,7,23,21,5,5,2015,39,9.75
5385714,2,21,2,3,2,3,2,1,2,1,3,1,1,1,3,1,1,1,25,208,4,100,1,832,0.1201923076923077,2.0,2.0,4,7,28,1,7,2015,66,16.5
95106668,1,35,3,2,4,3,2,1,1,0,1,1,1,3,1,1,1,1,30,159,1,50,1,159,0.31446540880503143,1.0,1.0,2,18,21,0,5,2015,44,44.0
140349,1,36,2,2,4,3,3,2,2,0,1,1,1,1,1,2,1,1,10,188,3,50,1,564,0.08865248226950355,1.0,1.0,4,7,28,1,7,2015,42,14.0
7709904,1,51,3,3,2,2,3,2,1,0,1,1,1,1,3,1,1,1,20,134,1,100,1,134,0.746268656716418,0.5,0.5,3,7,28,1,7,2015,15,15.0
89888538,1,29,2,3,2,1,2,2,1,0,3,2,2,1,1,1,1,1,20,218,1,100,1,218,0.45871559633027525,0.5,0.5,3,7,28,1,7,2015,69,69.0
37320420,1,68,2,4,2,2,2,1,2,1,1,1,1,1,3,1,1,2,0,101,4,100,1,404,0.24752475247524752,2.0,2.0,4,9,28,3,7,2015,103,25.75
94772738,2,44,4,3,2,4,3,2,1,0,1,1,1,2,3,1,1,2,0,124,3,100,1,372,0.26881720430107525,0.5,0.5,3,2,23,1,6,2015,44,14.666666666666666
67740487,1,62,2,4,1,3,3,3,2,1,1,2,1,1,1,1,1,1,10,243,2,25,1,486,0.051440329218107,0.6666666666666666,0.6666666666666666,6,9,28,3,7,2015,94,47.0
56263406,2,68,1,4,1,3,2,1,1,1,1,1,1,2,1,1,1,1,25,238,1,25,1,238,0.10504201680672269,1.0,1.0,3,9,28,3,7,2015,112,112.0
93676283,2,69,2,1,1,3,3,2,2,0,3,1,1,1,1,1,1,2,0,150,4,25,1,600,0.041666666666666664,1.0,1.0,4,9,28,3,7,2015,86,21.5
73719356,1,66,3,1,3,1,2,1,2,0,3,1,1,1,3,1,1,1,5,111,1,200,1,111,1.8018018018018018,2.0,2.0,3,9,28,3,7,2015,49,49.0
62215136,1,32,4,1,2,3,3,2,2,0,1,2,1,1,1,1,1,1,20,240,3,100,1,720,0.1388888888888889,1.0,1.0,4,9,28,3,7,2015,110,36.666666666666664
53295296,2,59,1,4,4,3,2,3,1,0,1,1,1,1,1,2,1,1,40,237,1,50,1,237,0.2109704641350211,0.3333333333333333,0.3333333333333333,4,13,29,0,7,2015,92,92.0
21196935,2,44,3,3,2,4,1,2,2,0,1,1,1,1,2,1,1,2,0,228,1,100,1,228,0.43859649122807015,1.0,1.0,4,16,29,3,7,2015,75,75.0
6285306,1,48,1,4,2,2,1,2,2,1,1,2,2,1,1,2,1,1,25,175,1,100,1,175,0.5714285714285714,1.0,1.0,5,3,27,4,7,2015,2,2.0
50124298,2,28,3,3,3,1,2,2,2,0,1,1,1,2,1,1,1,1,15,199,4,200,1,796,0.25125628140703515,1.0,1.0,4,3,27,4,7,2015,0,0.0
44843313,1,67,1,3,2,3,2,2,1,0,1,2,2,2,1,2,1,1,20,158,1,100,1,158,0.6329113924050633,0.5,0.5,3,3,27,4,7,2015,0,0.0
62712158,1,63,2,1,3,1,2,2,2,1,1,1,1,1,3,1,1,1,10,131,1,200,1,131,1.5267175572519085,1.0,1.0,5,3,27,4,7,2015,0,0.0
62570719,2,38,2,1,2,1,2,5,1,1,1,2,1,1,1,1,1,1,10,149,1,100,2,298,0.33557046979865773,0.2,0.2,7,3,27,4,7,2015,0,0.0
31873692,2,21,3,1,4,2,1,2,2,0,1,2,1,2,1,1,1,1,20,140,1,50,1,140,0.35714285714285715,1.0,1.0,4,3,27,4,7,2015,0,0.0
88607277,2,60,1,4,3,3,2,2,1,1,1,1,1,3,1,1,1,1,10,143,1,200,1,143,1.3986013986013985,0.5,0.5,4,4,27,5,7,2015,13,13.0
45408396,1,26,4,4,1,2,1,1,1,0,1,1,1,2,3,1,1,1,5,225,1,25,1,225,0.1111111111111111,1.0,1.0,2,4,27,5,7,2015,9,9.0
60695251,2,52,2,1,3,3,2,3,1,1,1,2,1,3,1,2,1,1,25,201,1,200,1,201,0.9950248756218906,0.3333333333333333,0.3333333333333333,5,4,27,5,7,2015,4,4.0
18301716,2,24,2,4,4,3,3,2,2,0,1,2,1,1,3,1,1,2,0,123,1,50,1,123,0.4065040650406504,1.0,1.0,4,5,27,6,7,2015,16,16.0
75436311,2,60,4,2,1,3,2,4,2,0,1,2,2,1,1,1,1,1,25,242,1,25,2,484,0.05165289256198347,0.5,0.5,6,5,27,6,7,2015,92,92.0
51494336,1,26,4,2,4,1,1,1,3,0,3,2,2,2,1,2,1,1,15,179,2,50,1,358,0.13966480446927373,3.0,3.0,4,29,27,0,6,2015,1,0.5
37564720,1,26,3,3,1,1,1,1,1,0,1,2,1,1,3,1,1,1,10,232,1,25,1,232,0.10775862068965517,1.0,1.0,2,5,27,6,7,2015,9,9.0
84070025,1,69,4,1,3,3,2,1,1,2,1,1,1,2,2,1,1,1,30,127,1,200,1,127,1.5748031496062993,1.0,1.0,4,5,27,6,7,2015,2,2.0
58266326,2,56,3,3,1,1,2,3,3,1,1,2,1,1,2,1,1,2,0,204,1,25,2,408,0.061274509803921566,1.0,1.0,7,5,27,6,7,2015,50,50.0
4845332,2,42,1,3,2,2,3,3,1,0,1,2,1,1,3,2,1,1,10,174,1,100,1,174,0.5747126436781609,0.3333333333333333,0.3333333333333333,4,16,25,1,6,2015,70,70.0
96798559,1,61,2,3,2,2,3,1,2,0,1,1,1,1,1,1,1,1,10,219,2,100,1,438,0.228310502283105,2.0,2.0,3,18,25,3,6,2015,61,30.5
75344429,2,63,2,3,2,4,3,1,3,0,1,1,1,1,2,1,1,1,30,146,1,100,1,146,0.684931506849315,3.0,3.0,4,3,27,4,7,2015,61,61.0
89456553,1,65,3,2,2,2,3,5,1,0,1,1,1,1,3,1,1,1,10,177,1,100,2,354,0.2824858757062147,0.2,0.2,6,12,24,4,6,2015,100,100.0
97707055,2,67,4,3,1,4,3,1,2,1,3,1,1,1,1,2,1,2,0,214,1,25,1,214,0.11682242990654206,2.0,2.0,4,5,27,6,7,2015,1,1.0
66082028,2,55,1,1,1,3,1,4,1,1,1,2,2,1,3,1,1,2,0,200,2,25,1,400,0.0625,0.25,0.25,6,5,27,6,7,2015,13,6.5
59992741,2,53,4,2,3,3,3,4,1,1,1,1,1,1,2,2,1,2,0,186,3,200,1,558,0.35842293906810035,0.25,0.25,6,9,24,1,6,2015,48,16.0
67830167,1,22,2,4,4,1,3,5,2,0,1,1,1,1,1,1,1,2,0,187,1,50,2,374,0.13368983957219252,0.4,0.4,7,6,28,0,7,2015,2,2.0
61148490,2,46,2,3,4,3,2,2,2,1,1,1,1,1,1,1,1,1,30,212,3,50,1,636,0.07861635220125786,1.0,1.0,5,26,22,1,5,2015,45,15.0
8374938,1,40,4,2,2,3,2,1,3,0,1,2,2,1,1,1,1,2,0,222,2,100,1,444,0.22522522522522523,3.0,3.0,4,7,28,1,7,2015,0,0.0
12091786,1,64,1,2,4,1,3,4,1,0,1,1,1,1,3,1,1,1,20,121,2,50,1,242,0.2066115702479339,0.25,0.25,5,7,28,1,7,2015,70,35.0
7675104,2,44,2,3,4,2,2,5,2,2,1,1,1,1,1,2,1,2,0,203,1,50,2,406,0.12315270935960591,0.4,0.4,9,11,28,5,7,2015,80,80.0
44467998,1,28,2,3,1,3,1,1,2,1,1,2,1,3,1,2,1,1,5,227,3,25,1,681,0.03671071953010279,2.0,2.0,4,12,28,6,7,2015,96,32.0
54294175,2,40,3,3,2,1,2,1,1,0,1,2,2,1,2,1,1,1,20,249,1,100,1,249,0.40160642570281124,1.0,1.0,2,19,21,1,5,2015,367,367.0
37285949,1,21,4,2,3,3,1,2,2,1,1,1,1,1,3,1,1,1,20,243,3,200,1,729,0.27434842249657065,1.0,1.0,5,13,29,0,7,2015,361,120.33333333333333
52449633,1,62,1,1,2,3,3,2,1,0,3,2,1,1,1,1,1,1,10,231,1,100,1,231,0.4329004329004329,0.5,0.5,3,9,24,1,6,2015,80,80.0
43700894,2,58,4,2,2,2,3,2,1,0,3,1,1,2,2,1,1,1,25,169,4,100,1,676,0.14792899408284024,0.5,0.5,3,13,29,0,7,2015,95,23.75
19868896,1,34,1,3,1,3,1,1,1,0,3,2,1,2,1,2,1,1,25,188,1,25,1,188,0.13297872340425532,1.0,1.0,2,17,29,4,7,2015,323,323.0
64763276,2,31,2,1,4,2,1,2,2,0,1,1,1,2,1,1,1,1,10,100,3,50,1,300,0.16666666666666666,1.0,1.0,4,17,29,4,7,2015,66,22.0
50935350,2,37,4,3,1,2,1,2,1,1,1,1,1,3,1,2,1,1,40,170,3,25,1,510,0.049019607843137254,0.5,0.5,4,15,16,2,4,2015,76,25.333333333333332
59376256,1,51,4,2,1,4,1,2,1,1,1,1,1,1,3,2,1,1,20,146,3,25,1,438,0.05707762557077625,0.5,0.5,4,4,27,5,7,2015,9,3.0
2454990,2,47,1,1,4,4,3,1,1,0,1,1,1,2,1,1,1,1,10,121,1,50,1,121,0.4132231404958678,1.0,1.0,2,4,27,5,7,2015,8,8.0
66392370,2,56,1,1,1,1,1,2,1,0,1,1,1,1,3,1,1,2,0,102,1,25,1,102,0.24509803921568626,0.5,0.5,3,4,27,5,7,2015,0,0.0
41050783,2,51,3,1,1,3,3,1,1,0,1,1,1,1,1,1,1,1,30,138,2,25,1,276,0.09057971014492754,1.0,1.0,2,4,27,5,7,2015,19,9.5
4295644,1,39,3,1,1,3,2,1,1,0,1,1,1,2,2,2,1,1,20,242,3,25,1,726,0.03443526170798898,1.0,1.0,2,4,27,5,7,2015,6,2.0
41547218,2,29,4,3,2,4,3,1,2,1,1,2,2,2,3,2,1,1,5,203,2,100,1,406,0.24630541871921183,2.0,2.0,4,4,27,5,7,2015,107,53.5
5293613,2,46,3,4,4,1,2,2,1,0,1,2,2,1,2,1,1,2,0,235,1,50,1,235,0.2127659574468085,0.5,0.5,3,26,22,1,5,2015,108,108.0
16778927,1,66,3,2,2,4,2,2,1,1,1,1,1,1,1,1,1,1,15,205,1,100,1,205,0.4878048780487805,0.5,0.5,4,29,27,0,6,2015,71,71.0
44624415,2,49,3,2,4,3,3,1,2,1,1,1,1,1,1,1,1,1,5,215,1,50,1,215,0.23255813953488372,2.0,2.0,4,13,20,2,5,2015,62,62.0
1691869,1,38,1,2,3,4,2,2,1,0,3,1,1,2,3,1,1,1,5,240,2,200,1,480,0.4166666666666667,0.5,0.5,3,10,28,4,7,2015,61,30.5
89215770,2,57,1,1,4,3,1,3,1,0,1,1,1,1,1,1,1,1,30,226,4,50,1,904,0.05530973451327434,0.3333333333333333,0.3333333333333333,4,10,28,4,7,2015,97,24.25
20176010,2,46,2,3,2,3,1,1,1,2,1,1,1,1,3,1,1,1,10,164,2,100,1,328,0.3048780487804878,1.0,1.0,4,10,28,4,7,2015,100,50.0
40028695,1,59,3,4,2,2,1,4,2,0,1,1,1,3,1,2,1,1,25,204,2,100,2,816,0.12254901960784313,0.5,0.5,6,7,28,1,7,2015,2,1.0
11260215,1,23,4,3,1,3,1,2,2,0,1,1,1,2,1,1,1,2,0,158,4,25,1,632,0.03955696202531646,1.0,1.0,4,7,28,1,7,2015,94,23.5
76318666,1,32,4,4,4,1,3,2,2,0,1,2,2,1,2,1,1,1,15,204,2,50,1,408,0.12254901960784313,1.0,1.0,4,10,28,4,7,2015,90,45.0
56252511,2,28,1,4,1,3,2,3,1,0,1,2,1,1,1,1,1,1,5,117,1,25,1,117,0.21367521367521367,0.3333333333333333,0.3333333333333333,4,10,28,4,7,2015,94,94.0
15611316,1,47,2,3,4,4,2,3,1,0,1,1,1,1,3,1,1,1,15,209,3,50,1,627,0.07974481658692185,0.3333333333333333,0.3333333333333333,4,11,28,5,7,2015,99,33.0
27064774,2,52,3,1,1,2,3,5,1,0,1,2,1,2,1,2,1,1,10,114,1,25,2,228,0.10964912280701754,0.2,0.2,6,9,24,1,6,2015,25,25.0
46967349,1,35,1,1,4,3,2,2,2,0,3,1,1,1,3,1,1,1,5,229,1,50,1,229,0.2183406113537118,1.0,1.0,4,20,21,2,5,2015,72,72.0
70161171,1,48,2,2,2,1,3,2,2,0,1,2,1,2,1,2,1,2,0,129,2,100,1,258,0.3875968992248062,1.0,1.0,4,22,17,2,4,2015,100,50.0
81928060,1,26,1,4,4,3,3,4,1,0,1,1,1,1,1,1,1,1,25,189,2,50,1,378,0.13227513227513227,0.25,0.25,5,11,28,5,7,2015,113,56.5
20965226,1,30,2,3,1,3,3,2,1,2,1,2,2,1,2,2,1,1,5,247,1,25,1,247,0.10121457489878542,0.5,0.5,5,11,28,5,7,2015,101,101.0
99218933,1,57,2,1,2,3,1,3,3,0,1,2,1,1,3,1,1,2,0,245,2,100,2,980,0.10204081632653061,1.0,1.0,6,11,28,5,7,2015,84,42.0
18472049,1,19,2,3,1,1,1,5,2,0,3,2,2,1,3,1,1,1,20,191,1,25,2,382,0.06544502617801047,0.4,0.4,7,11,28,5,7,2015,77,77.0
54997115,1,22,4,3,4,1,2,2,2,0,1,2,1,1,2,1,1,2,0,214,1,50,1,214,0.2336448598130841,1.0,1.0,4,11,28,5,7,2015,51,51.0
47708934,2,60,2,3,1,2,3,1,2,0,1,2,1,2,3,1,1,1,10,228,3,25,1,684,0.03654970760233918,2.0,2.0,3,12,28,6,7,2015,26,8.666666666666666
31956359,1,23,3,1,2,1,1,2,1,0,1,1,1,1,1,1,1,1,20,238,1,100,1,238,0.42016806722689076,0.5,0.5,3,12,20,1,5,2015,100,100.0
85101864,2,55,4,2,2,2,2,2,3,0,1,1,1,1,2,1,1,1,5,144,1,100,1,144,0.6944444444444444,1.5,1.5,5,12,28,6,7,2015,108,108.0
76679894,2,58,3,2,2,4,2,2,1,0,1,1,1,1,1,2,1,1,10,216,2,100,1,432,0.23148148148148148,0.5,0.5,3,14,29,1,7,2015,90,45.0
99030960,2,31,2,2,2,3,3,1,1,0,1,1,1,1,1,1,1,1,5,240,4,100,1,960,0.10416666666666667,1.0,1.0,2,14,29,1,7,2015,88,22.0
22908824,1,33,1,3,1,2,1,3,1,1,3,1,1,2,3,1,1,2,0,123,2,25,1,246,0.1016260162601626,0.3333333333333333,0.3333333333333333,5,14,29,1,7,2015,77,38.5
95121154,1,41,4,4,4,1,3,4,2,0,1,1,1,1,1,1,1,1,5,248,1,50,2,496,0.10080645161290322,0.5,0.5,6,5,27,6,7,2015,1,1.0
93260803,1,38,1,4,2,1,2,5,1,1,1,1,1,1,3,1,1,1,25,217,2,100,2,868,0.1152073732718894,0.2,0.2,7,5,27,6,7,2015,28,14.0
65748594,1,24,3,3,2,4,2,1,2,0,3,1,1,1,3,2,1,1,5,234,2,100,1,468,0.21367521367521367,2.0,2.0,3,29,22,4,5,2015,49,24.5
70197598,2,63,2,3,2,4,3,3,1,0,1,2,2,3,1,1,1,1,5,120,1,100,1,120,0.8333333333333334,0.3333333333333333,0.3333333333333333,4,4,27,5,7,2015,35,35.0
75393812,1,58,3,4,2,2,1,2,3,0,1,1,1,1,1,1,1,2,0,158,2,100,1,316,0.31645569620253167,1.5,1.5,5,13,20,2,5,2015,71,35.5
35573319,1,26,1,4,2,4,3,2,1,1,1,1,1,1,2,1,1,2,0,168,2,100,1,336,0.2976190476190476,0.5,0.5,4,16,25,1,6,2015,31,15.5
15775355,2,20,4,4,1,2,1,3,1,1,2,1,1,1,3,1,1,1,20,130,2,25,1,260,0.09615384615384616,0.3333333333333333,0.3333333333333333,5,5,27,6,7,2015,30,15.0
20372189,1,44,4,1,4,3,1,1,1,0,1,1,1,1,3,1,1,1,5,203,3,50,1,609,0.08210180623973727,1.0,1.0,2,5,27,6,7,2015,5,1.6666666666666667
14138784,1,38,4,2,2,4,1,3,3,1,1,2,2,1,1,1,1,1,15,181,2,100,2,724,0.13812154696132597,1.0,1.0,7,6,28,0,7,2015,98,49.0
75668801,1,64,2,4,4,3,2,1,1,1,1,1,1,1,1,1,1,1,15,165,1,50,1,165,0.30303030303030304,1.0,1.0,3,6,28,0,7,2015,0,0.0
85923736,1,29,3,3,1,3,3,2,2,0,1,2,1,1,2,1,1,1,20,186,1,25,1,186,0.13440860215053763,1.0,1.0,4,6,28,0,7,2015,99,99.0
91219,2,35,1,4,2,1,3,4,1,0,1,1,1,1,3,1,1,1,10,130,2,100,1,260,0.38461538461538464,0.25,0.25,5,6,28,0,7,2015,98,49.0
45482058,2,53,1,1,4,3,1,1,1,0,1,1,1,1,1,1,1,1,20,118,2,50,1,236,0.211864406779661,1.0,1.0,2,6,28,0,7,2015,7,3.5
91798772,2,38,4,3,1,4,2,3,1,1,1,1,1,1,1,2,1,2,0,123,4,25,1,492,0.0508130081300813,0.3333333333333333,0.3333333333333333,5,1,27,2,7,2015,1,0.25
52430955,1,22,3,4,4,3,2,1,2,0,1,1,1,2,1,1,1,1,5,195,1,50,1,195,0.2564102564102564,2.0,2.0,3,6,28,0,7,2015,0,0.0
56511978,2,47,3,1,1,1,3,1,2,0,1,2,2,1,1,1,1,2,0,109,2,25,1,218,0.11467889908256881,2.0,2.0,3,6,28,0,7,2015,7,3.5
4371916,1,69,2,1,3,3,1,1,2,1,1,1,1,1,2,2,1,1,10,162,2,200,1,324,0.6172839506172839,2.0,2.0,4,6,28,0,7,2015,0,0.0
61280116,1,25,1,3,3,3,1,1,1,0,1,1,1,3,1,1,1,1,25,179,4,200,1,716,0.27932960893854747,1.0,1.0,2,6,28,0,7,2015,0,0.0
8903936,1,22,2,4,2,2,2,4,1,0,1,2,2,2,1,1,1,1,20,242,3,100,1,726,0.13774104683195593,0.25,0.25,5,6,28,0,7,2015,6,2.0
49894109,2,57,1,3,4,2,2,1,1,0,1,1,1,1,3,2,1,1,15,244,1,50,1,244,0.20491803278688525,1.0,1.0,2,1,27,2,7,2015,4,4.0
36479325,1,68,3,1,3,3,2,2,2,1,1,1,1,1,2,1,1,1,30,148,2,200,1,296,0.6756756756756757,1.0,1.0,5,6,28,0,7,2015,0,0.0
95145544,1,27,1,2,3,4,1,2,2,1,3,2,2,2,2,2,1,2,0,176,1,200,1,176,1.1363636363636365,1.0,1.0,5,7,28,1,7,2015,43,43.0
78688371,1,24,2,3,1,3,2,1,1,0,1,1,1,1,1,2,1,1,20,103,2,25,1,206,0.12135922330097088,1.0,1.0,2,7,28,1,7,2015,78,39.0
50136772,1,61,3,1,4,4,1,4,1,0,1,2,1,1,1,1,1,1,20,122,4,50,1,488,0.10245901639344263,0.25,0.25,5,9,28,3,7,2015,93,23.25
8142106,2,36,4,2,4,4,1,3,2,1,1,1,1,3,1,1,1,1,20,133,1,50,1,133,0.37593984962406013,0.6666666666666666,0.6666666666666666,6,10,28,4,7,2015,108,108.0
12737635,1,38,2,2,4,3,1,4,1,1,1,1,1,2,1,1,1,2,0,158,1,50,1,158,0.31645569620253167,0.25,0.25,6,10,28,4,7,2015,29,29.0
70828688,2,70,4,3,2,2,1,2,1,0,1,1,1,1,1,2,1,1,40,227,1,100,1,227,0.44052863436123346,0.5,0.5,3,10,28,4,7,2015,63,63.0
45133192,2,38,3,3,2,1,1,1,2,0,1,2,1,1,1,2,1,1,25,114,1,100,1,114,0.8771929824561403,2.0,2.0,3,11,28,5,7,2015,38,38.0
60357244,2,58,3,1,4,3,2,1,1,0,1,1,1,2,1,1,1,1,25,223,1,50,1,223,0.2242152466367713,1.0,1.0,2,11,28,5,7,2015,89,89.0
20431537,2,26,1,3,1,3,2,2,2,0,1,1,1,1,2,1,1,1,30,201,1,25,1,201,0.12437810945273632,1.0,1.0,4,17,25,2,6,2015,33,33.0
85494342,2,37,3,3,4,1,3,3,3,1,3,1,1,2,1,2,1,1,5,191,1,50,2,382,0.13089005235602094,1.0,1.0,7,1,18,4,5,2015,92,92.0
11120982,1,45,4,1,1,3,1,5,1,0,3,1,1,2,1,1,1,1,5,190,4,25,2,1520,0.01644736842105263,0.2,0.2,6,12,28,6,7,2015,93,23.25
